订单编号,下单日期,客户ID,客户名称,商品编号,商品名称,品类,单价,数量,折扣率,是否退货
1001,2026-01-05,C001,春山咖啡,P001,浓缩咖啡豆,饮品,18,20,0.05,false
1002,2026-01-12,C002,河畔商店,P002,绿茶,饮品,12,30,0.00,false
1003,2026-01-20,C003,城市书店,P003,笔记本,办公用品,5,40,0.10,false
1004,2026-02-03,C001,春山咖啡,P004,蛋白棒,食品,25,30,0.05,false
1005,2026-02-14,C004,海港工作室,P005,桌垫,办公用品,15,40,0.10,false
1006,2026-02-22,C005,湖畔健身,P006,运动水瓶,配件,60,5,0.00,false
1007,2026-03-02,C002,河畔商店,P001,浓缩咖啡豆,饮品,18,15,0.05,false
1008,2026-03-15,C003,城市书店,P002,绿茶,饮品,12,20,0.00,false
1009,2026-03-25,C006,都会礼品,P003,笔记本,办公用品,5,30,0.10,false
1010,2026-04-04,C001,春山咖啡,P004,蛋白棒,食品,25,20,0.05,false
1011,2026-04-11,C004,海港工作室,P005,桌垫,办公用品,15,20,0.00,true
1012,2026-04-18,C005,湖畔健身,P006,运动水瓶,配件,60,4,0.35,false
1013,2026-04-26,C006,都会礼品,P003,笔记本,办公用品,5,50,0.00,true
1014,2026-05-06,C002,河畔商店,P001,浓缩咖啡豆,饮品,18,30,0.00,false
1015,2026-05-12,C003,城市书店,P002,绿茶,饮品,12,25,0.40,false
1016,2026-05-28,C005,湖畔健身,P006,运动水瓶,配件,60,6,0.10,false
1017,2026-06-03,C001,春山咖啡,P004,蛋白棒,食品,25,25,0.05,false
1018,2026-06-10,C006,都会礼品,P003,笔记本,办公用品,5,100,0.00,false
1019,2026-06-18,C004,海港工作室,P005,桌垫,办公用品,15,30,0.05,true
1020,2026-06-29,C005,湖畔健身,P006,运动水瓶,配件,60,10,0.00,false
